CountryCode,PostCode,Lat,Lon
BE,1000,50.845929141,4.357589099
BE,1020,50.886259499,4.348363439
BE,1030,50.862171001,4.383240601
BE,1040,50.83382786,4.392341924
BE,1050,50.823810898,4.373822995
BE,1060,50.828587459,4.345351907
BE,1070,50.835343133,4.305823216
BE,1080,50.855774159,4.321362453
BE,1081,50.862501122,4.324176537
BE,1082,50.864812765,4.295517816
BE,1083,50.872833897,4.311611354
BE,1090,50.878704724,4.327852065
BE,1120,50.895480846,4.382956682
BE,1130,50.891328821,4.418849333
BE,1140,50.869286694,4.405967251
BE,1150,50.83343114,4.438038035
BE,1160,50.816710897,4.419723733
BE,1170,50.804051564,4.41042974
BE,1180,50.799973369,4.348333015
BE,1190,50.8164783,4.330188468
BE,1200,50.846657915,4.426214789
BE,1210,50.852774223,4.37229967
BE,1300,50.48199445,4.232830634
BE,1301,50.563709455,4.347889624
BE,1310,50.687439061,4.413583419
BE,1315,50.420652464,4.30049988
BE,1320,50.703305915,4.629307624
BE,1325,50.541391587,4.429800373
BE,1330,50.620149644,4.385649162
BE,1331,50.495079268,4.173480457
BE,1332,50.519282723,4.189347019
BE,1340,50.512519578,4.31533376
BE,1341,50.536997426,4.354202098
BE,1342,50.566120473,4.375796904
BE,1348,50.339859418,4.061277763
BE,1350,50.516084517,4.629704226
BE,1357,50.634323605,4.7739756
BE,1360,50.432393135,4.426362063
BE,1367,50.536098347,4.655312761
BE,1370,50.644439019,4.719114491
BE,1380,50.540727047,4.240317267
BE,1390,50.577967127,4.405558512
BE,1400,50.542505382,4.242782144
BE,1401,50.544014853,4.246734673
BE,1402,50.515542943,4.24692308
BE,1404,50.524623121,4.147444675
BE,1410,50.566866699,4.182670406
BE,1420,50.556863526,4.179293566
BE,1421,50.579853159,4.222047475
BE,1428,50.587421371,4.280285081
BE,1430,50.441011887,3.833497065
BE,1435,50.509159169,4.399769051
BE,1440,50.503895961,4.031726013
BE,1450,50.515913723,4.485773299
BE,1457,50.372422058,4.232083613
BE,1460,50.516342386,4.05267548
BE,1461,50.527429723,4.105149533
BE,1470,50.472043741,4.253237006
BE,1471,50.538569256,4.34496851
BE,1472,50.490957818,4.235859746
BE,1473,50.474248075,4.200582804
BE,1474,50.417342491,4.137649256
BE,1476,50.434738689,4.174053849
BE,1480,50.483800951,3.92480567
BE,1490,50.494244666,4.322814006
BE,1495,50.376245716,4.20138007
BE,1500,50.732840518,4.238267172
BE,1501,50.741734476,4.259923672
BE,1502,50.714148899,4.21899723
BE,1540,50.726694302,4.043551742
BE,1541,50.70352939,4.004471231
BE,1547,50.714230311,3.930283276
BE,1560,50.766237163,4.475670412
BE,1570,50.75140678,3.98698557
BE,1600,50.789567749,4.267571216
BE,1601,50.786482596,4.293265408
BE,1602,50.807835666,4.233566076
BE,1620,50.789022002,4.315708334
BE,1630,50.771103338,4.336873181
BE,1640,50.744657994,4.36406186
BE,1650,50.766910063,4.314423038
BE,1651,50.764045037,4.278109322
BE,1652,50.746121176,4.333147762
BE,1653,50.729801518,4.298446191
BE,1654,50.74807773,4.27203534
BE,1670,50.745875495,4.142915076
BE,1671,50.779122395,4.172374043
BE,1673,50.738235286,4.180557475
BE,1674,50.735669251,4.15919247
BE,1700,50.850815149,4.254947628
BE,1701,50.834149853,4.236693944
BE,1702,50.870089648,4.26241669
BE,1703,50.83637646,4.200000436
BE,1730,50.911115282,4.200932187
BE,1731,50.885964601,4.275880363
BE,1740,50.873120563,4.177508151
BE,1741,50.855889252,4.155380678
BE,1742,50.874543388,4.142610395
BE,1745,50.965637494,4.181432741
BE,1750,50.815232225,4.156836042
BE,1755,50.781696489,4.099448077
BE,1760,50.83792754,4.090089477
BE,1761,50.84926969,4.125268936
BE,1770,50.868730153,4.091704348
BE,1780,50.906038822,4.310739714
BE,1785,50.955997081,4.238555608
BE,1790,50.902713789,4.112180621
BE,1800,50.925661539,4.42054826
BE,1820,50.919483473,4.499835727
BE,1830,50.911531575,4.437782366
BE,1831,50.893262504,4.438608735
BE,1840,51.010833505,4.283066353
BE,1850,50.932522333,4.380678687
BE,1851,50.970929234,4.381105887
BE,1852,50.95413451,4.365719841
BE,1853,50.907836897,4.354332742
BE,1860,50.941982109,4.330095288
BE,1861,50.962457677,4.309392325
BE,1880,51.007233773,4.356633246
BE,1910,50.938924209,4.559391666
BE,1930,50.88314581,4.478562246
BE,1932,50.865141734,4.447146871
BE,1933,50.859859317,4.508297189
BE,1950,50.848569491,4.467410535
BE,1970,50.843630854,4.491320242
BE,1980,50.975006324,4.44858089
BE,1981,50.994336092,4.497137329
BE,1982,50.969676975,4.491181048
BE,2000,51.217847412,4.402035416
BE,2018,51.205811897,4.412427787
BE,2020,51.188290501,4.385478888
BE,2030,51.254060552,4.414649854
BE,2040,51.35082014,4.319706392
BE,2050,51.224354945,4.379627914
BE,2060,51.224982597,4.426060266
BE,2070,51.211446556,4.333928527
BE,2100,51.218675213,4.465790764
BE,2110,51.227204745,4.518621384
BE,2140,51.211509474,4.442335575
BE,2150,51.197377037,4.484047736
BE,2160,51.203455379,4.51422579
BE,2170,51.249663919,4.443017263
BE,2180,51.281360127,4.428152448
BE,2200,51.165265242,4.832213145
BE,2220,51.069487752,4.722067003
BE,2221,51.042136333,4.766374112
BE,2222,51.102732388,4.746234783
BE,2223,51.026371567,4.699031604
BE,2230,51.044596256,4.875670147
BE,2235,51.064845106,4.810696077
BE,2240,51.209263041,4.657170498
BE,2242,51.221631251,4.69909501
BE,2243,51.201551774,4.707156017
BE,2250,51.161494757,4.886855516
BE,2260,51.105786837,4.887364483
BE,2270,51.139433074,4.759138896
BE,2275,51.253805076,4.828255558
BE,2280,51.187400278,4.734912058
BE,2288,51.165979429,4.74254261
BE,2290,51.207493399,4.770415663
BE,2300,51.319908186,4.943553039
BE,2310,51.344478868,4.766374472
BE,2320,51.400903963,4.759686463
